hospitality
people warm
welcomed
people nice
hospitality
friendly
says please
mobbed
greeted
served
offered
hospitable
invited
rude
smiled
helpful
say hi
look after
guest
sweet
lovely
polite
hello
helped
kind
courteous
give lift
gracious
